State,Region,Division,County,FIPS,GEOID,SMS Region,Year,Premature death,Poor or fair health,Poor physical health days,Poor mental health days,Low birthweight,Adult smoking,Adult obesity,Food environment index,Physical inactivity,Access to exercise opportunities,Excessive drinking,Alcohol-impaired driving deaths,Sexually transmitted infections,Teen births,Uninsured,Primary care physicians,Dentists,Mental health providers,Preventable hospital stays,Diabetic screening,Mammography screening,High school graduation,Some college,Unemployment,Children in poverty,Income inequality,Children in single-parent households,Social associations,Violent crime,Injury deaths,Air pollution - particulate matter,Drinking water violations,Severe housing problems,Driving alone to work,Long commute - driving alone,2011 population estimate,Population that is not proficient in English,Population living in a rural area,Diabetes,HIV prevalence rate,Premature age-adjusted mortality,Infant mortality,Child mortality,Food insecurity,Limited access to healthy foods,Motor vehicle crash deaths,Drug poisoning deaths,Uninsured adults,Uninsured children,Health care costs,Could not see doctor due to cost,Other primary care providers,Median household income,Children eligible for free lunch,Homicide rate,Inadequate social support
FL,South,South Atlantic,Sumter County,12119,12119,Region 15,1/1/2015,7493.0,0.148,3.6,3.6,0.09,0.13,0.289,8.1,0.201,0.778,0.107,0.263,212.6,70.2,0.191,19.0,27.0,39.0,50.76,0.89,0.83,0.78,0.373,0.059,0.335,3.758,0.347,5.708,189.6,80.4,11.17,0.0,0.131,0.746,0.331,107056,0.016,0.35,0.145,205.4,302.0,7.1,79.5,0.126,0.027,15.12,7.16,0.211,0.107,10874.0,0.092,35.0,52670,0.517,4.2,
FL,South,South Atlantic,Suwannee County,12121,12121,Region 15,1/1/2014,9818.0,0.23,5.2,4.6,0.08,0.244,0.31,7.075,0.3,0.257,0.136,0.333,405.0,64.6,0.238,17.0,15.0,15.0,84.14,0.85,0.59,0.54,0.402,0.077,0.414,,0.379,,490.77,96.3,11.89,0.0,0.141,0.751,0.354,43656,0.039,0.832,0.124,218.6,473.3,9.7,97.1,0.162,0.084,31.46,13.94,0.283,0.132,9312.0,0.2,34.0,34434,0.586,5.01,0.247
FL,South,South Atlantic,Suwannee County,12121,12121,Region 15,1/1/2015,8926.0,0.23,5.2,4.6,0.08,0.244,0.316,6.6,0.288,0.517,0.136,0.397,396.3,61.0,0.237,21.0,18.0,25.0,88.4,0.84,0.59,0.59,0.381,0.066,0.375,4.405,0.417,11.453,419.93,99.4,11.89,0.0,0.154,0.752,0.336,43734,0.034,0.832,0.127,218.6,456.7,9.9,76.1,0.168,0.084,29.41,15.91,0.286,0.119,9758.0,0.2,43.0,35666,0.61,6.1,
FL,South,South Atlantic,Taylor County,12123,12123,Region 15,1/1/2014,9369.0,0.24,5.6,4.8,0.1,0.291,0.359,6.76,0.314,0.191,0.138,0.452,308.5,71.4,0.202,35.0,42.0,4.0,66.56,0.86,0.57,0.61,0.369,0.093,0.322,,0.486,,806.5,84.5,11.84,0.565,0.129,0.817,0.204,22744,0.006,0.693,0.13,498.3,452.7,,110.5,0.169,0.101,25.23,10.62,0.244,0.095,9189.0,0.199,44.0,36257,0.623,9.3,0.242
FL,South,South Atlantic,Taylor County,12123,12123,Region 15,1/1/2015,8926.0,0.24,5.6,4.8,0.1,0.291,0.365,6.3,0.32,0.605,0.138,0.419,532.0,69.6,0.193,48.0,48.0,18.0,59.17,0.86,0.61,0.625,0.377,0.082,0.329,4.262,0.492,14.949,689.56,82.4,11.84,0.113,0.117,0.8,0.199,22857,0.006,0.693,0.137,498.3,451.7,11.3,96.0,0.174,0.101,21.87,9.65,0.234,0.09,9394.0,0.199,53.0,38370,0.653,9.0,
FL,South,South Atlantic,Union County,12125,12125,Region 15,1/1/2014,16608.0,0.215,4.6,4.1,0.09,0.273,0.38,6.747,0.311,0.204,0.145,0.333,935.8,67.0,0.197,19.0,15.0,30.0,128.42,0.73,0.53,0.725,0.394,0.073,0.267,,0.318,,275.34,79.3,11.83,0.195,0.099,0.869,0.386,15212,0.005,0.674,0.138,3439.9,883.5,,,0.172,0.096,30.13,,0.236,0.115,11519.0,0.214,33.0,39486,0.513,,0.227
FL,South,South Atlantic,Union County,12125,12125,Region 15,1/1/2015,14544.0,0.215,4.6,4.1,0.09,0.273,0.379,6.3,0.303,0.401,0.145,0.222,729.7,68.6,0.195,33.0,20.0,46.0,102.22,0.82,0.5,0.725,0.389,0.061,0.27,3.812,0.349,5.259,277.3,73.8,11.83,0.0,0.109,0.862,0.351,15136,0.006,0.674,0.133,3439.9,780.6,,,0.178,0.096,28.84,10.23,0.239,0.101,10531.0,0.214,33.0,40841,,,
FL,South,South Atlantic,Volusia County,12127,12127,Region 15,1/1/2014,8975.0,0.209,4.5,4.9,0.08,0.224,0.258,7.032,0.257,0.718,0.167,0.3,297.9,38.3,0.223,66.0,42.0,86.0,54.7,0.85,0.69,0.62,0.608,0.088,0.321,,0.366,,534.68,81.5,11.15,0.075,0.193,0.824,0.338,496950,0.017,0.099,0.119,310.7,404.9,6.9,65.6,0.159,0.094,22.13,18.56,0.26,0.114,10127.0,0.191,40.0,40114,0.479,4.91,0.232
FL,South,South Atlantic,Volusia County,12127,12127,Region 15,1/1/2015,8625.0,0.209,4.5,4.9,0.08,0.224,0.273,6.8,0.269,0.909,0.167,0.281,334.4,36.6,0.212,66.0,44.0,113.0,52.55,0.85,0.7,0.67,0.582,0.073,0.253,4.374,0.383,8.069,494.43,85.2,11.15,0.267,0.197,0.821,0.335,500800,0.016,0.099,0.126,310.7,402.8,6.9,53.6,0.156,0.094,19.24,18.86,0.247,0.106,10099.0,0.191,46.0,40908,0.492,5.5,
FL,South,South Atlantic,Wakulla County,12129,12129,Region 15,1/1/2014,7445.0,0.187,4.1,4.4,0.09,0.248,0.362,8.467,0.277,0.713,0.214,0.469,458.4,34.0,0.18,29.0,15.0,32.0,67.33,0.8,0.61,0.75,0.483,0.071,0.228,,0.327,,321.83,62.7,11.99,0.0,0.142,0.814,0.552,30818,0.003,0.617,0.107,250.1,374.2,9.5,61.6,0.134,0.003,20.57,11.04,0.213,0.102,10081.0,0.157,26.0,46773,0.395,5.02,0.2
FL,South,South Atlantic,Wakulla County,12129,12129,Region 15,1/1/2015,7411.0,0.187,4.1,4.4,0.09,0.248,0.371,8.0,0.275,0.783,0.214,0.4,353.7,31.6,0.171,29.0,16.0,45.0,56.29,0.85,0.54,0.7,0.505,0.059,0.222,4.033,0.37,9.086,288.09,78.8,11.99,0.0,0.15,0.834,0.563,31022,0.005,0.617,0.117,250.1,383.1,,47.4,0.145,0.003,22.53,9.59,0.203,0.092,9658.0,0.157,19.0,47430,0.399,,
FL,South,South Atlantic,Walton County,12131,12131,Region 16,1/1/2014,9002.0,0.203,4.6,4.4,0.09,0.227,0.267,7.77,0.268,0.379,0.183,0.337,234.8,51.1,0.237,43.0,32.0,62.0,89.85,0.77,0.65,0.74,0.55,0.056,0.284,,0.353,,398.51,97.9,12.62,0.239,0.208,0.808,0.377,57582,0.017,0.631,0.106,150.6,425.9,7.8,69.0,0.133,0.072,30.53,21.46,0.269,0.145,10746.0,0.154,43.0,40239,0.439,4.95,0.191
FL,South,South Atlantic,Walton County,12131,12131,Region 16,1/1/2015,7712.0,0.203,4.6,4.4,0.08,0.227,0.272,7.3,0.262,0.66,0.183,0.347,222.3,49.6,0.24,47.0,37.0,67.0,85.28,0.78,0.62,0.75,0.548,0.045,0.299,4.5,0.376,9.552,385.33,83.5,12.62,0.271,0.218,0.825,0.355,59807,0.015,0.631,0.106,150.6,372.1,8.2,70.2,0.142,0.072,26.84,19.47,0.278,0.133,10928.0,0.154,45.0,45357,0.495,4.1,
FL,South,South Atlantic,Washington County,12133,12133,Region 16,1/1/2014,10553.0,0.349,8.4,5.8,0.09,0.267,0.364,5.651,0.317,0.294,0.074,0.286,304.8,55.4,0.223,28.0,22.0,18.0,92.79,0.81,0.53,0.626,0.414,0.094,0.335,,0.351,,179.26,111.9,12.47,0.371,0.17,0.796,0.473,24892,0.004,0.846,0.134,521.9,519.1,,56.3,0.176,0.194,32.16,17.6,0.267,0.115,11243.0,0.174,76.0,36560,0.54,9.71,0.236
FL,South,South Atlantic,Washington County,12133,12133,Region 16,1/1/2015,10327.0,0.349,8.4,5.8,0.09,0.267,0.373,5.3,0.301,0.409,0.074,0.237,321.4,56.6,0.199,28.0,28.0,20.0,87.46,0.84,0.49,0.694,0.443,0.082,0.345,4.618,0.283,11.65,229.42,106.3,12.47,0.372,0.181,0.803,0.471,24624,0.002,0.846,0.141,521.9,507.4,,57.2,0.176,0.194,29.92,17.01,0.238,0.099,11208.0,0.174,73.0,35671,0.527,9.7,
